ID,公司,决定,时间UTC,thesis变化,模型变化,估值变化,置信度,原产物路径
75,linde,NO_CHANGE,2026-09-03T12:40:35+00:00,WTI同步上涨不提供Linde合同传导或区域margin证据，LIN-T1至T4不变。,不修改Linde模型、盈利预测或估值。,估值不变。,medium,research-outputs/active-coverage/industry/2026-09-03-brent-wti-risk-premium-rebuild.md
76,basf,NO_CHANGE,2026-09-03T16:35:26+00:00,BASF-T2轻微支持但不升级；BASF-T3未被证伪。Citi的价格桥可复算，利用率桥存在算术/口径断裂，中国反制和欧洲结构成本仍是抵消项。,新增v0.4 EU Policy Scenario审计页；保留v0.3，Dalton base-case policy uplift为€0，盈利预测不变。LibreOffice重算229个公式、0错误，Checks全OK。,不采用Citi €60目标价替代Dalton估值；估值不变。,high,research-outputs/active-coverage/basf/2026-09-03-citi-eu-protection-policy-scenario.md
77,wanhua,NO_CHANGE,2026-09-04T00:18:18+00:00,外部检修方向上支持亚洲有效供给收紧，但Event 56新增机械损失基准仅约2.19万吨；消息当日MDI粗价差未改善，不足以调整WH-T1置信度。,不修改万华Q3产销量、MDI实现价、聚氨酯毛利或库存假设；烟台检修属于已知事件，不重复计量。,不变。,medium,research-outputs/active-coverage/wanhua/2026-09-03-tosoh-mdi-maintenance-validation.md
78,wanhua,NO_CHANGE,2026-09-04T01:15:35+00:00,WH-T1无关；WH-T2与WH-T3均维持open/medium，未触发falsifier。,不修改万华模型、盈利预测、净债务或capex；H2收益桥约153.53万元，仅待Q3正式口径确认。,无变化。,high,research-outputs/active-coverage/wanhua/2026-09-03-structured-deposit-maturity.md
79,linde,NO_CHANGE,2026-09-04T15:27:49+00:00,Lincare拖累已量化但整改未验证；航天SOP缺行业拆分；Beaumont延期与Woodside战略评估强化既有时点风险，不构成新增可确认模型变化。,不修改；保留Lincare约3900万美元Q2同比拖累与Beaumont情景敏感性。,不变,high,research-outputs/active-coverage/linde/2026-09-04-lincare-space-woodside-update.md
80,wanhua,NO_CHANGE,2026-09-05T00:17:46+00:00,外部检修计划低置信度支持有效供给收缩机制，但实际停车未确认、TDI价格未越过3%日阈值、甲苯涨幅更快；WH-T1不升级，WH-T2/WH-T3无关。,不修改万华Q3 TDI销量、ASP、聚氨酯利润或集团盈利；现有模型无独立TDI量价/价差行，不新增未经验证公式。,无变化。,medium,research-outputs/active-coverage/wanhua/2026-09-04-gansu-yinguang-tdi-maintenance.md
81,wanhua,NO_CHANGE,2026-09-06T12:16:36+00:00,WH-T1新增混合证据：聚合MDI价格基本覆盖纯苯成本腿，但开工与库存同升、现货询盘及新订单偏弱；未触发季度falsifier，置信度不变。WH-T2/WH-T3无直接影响。,不修改models/wanhua-simple-model-final.xlsx；2026Q3E聚合MDI、纯苯、销量、ASP和成本假设继续blank gate。,无变化。,medium,research-outputs/active-coverage/wanhua/2026-09-06-benzene-mdi-driver-update.md
82,wanhua,NO_CHANGE,2026-09-06T13:11:35+00:00,WH-T3新增高置信度反方证据：已承诺现金分红按原金额进入实施；但无金额增量，且H2 FCF、净债务和项目ROIC未验证，status/confidence仍为open/medium。WH-T1/WH-T2无变化。,不修改models/wanhua-simple-model-final.xlsx。9月11日派现25.36亿元计入H2筹资现金流，不进入CFO、cash capex或简化FCF；其他条件不变时净债务机械增加同额，仅作为Q3核对桥。,无变化；9月11日原始价格收益需加回每股0.81元，避免把机械除息当基本面下跌。,high,research-outputs/active-coverage/wanhua/2026-09-06-interim-dividend-implementation.md
83,basf,NO_CHANGE,2026-09-07T00:14:18+00:00,事件支持BASF-T3中的欧洲运营/物流成本风险，但属于天气驱动且未传导为可验证的中周期利润或ROCE变化，不调整status/confidence；BASF-T2的低水位船韧性与选择性履约风险并存，亦不调整。,不修改models/basf-model-v0.4-citi-eu-policy-2026-09-03.xlsx；销量、物流成本、装置负荷、EBITDA和经营现金流均保持原假设。,无变化；未出现可审计的中期EBITDA、FCF、ROCE或资本成本增量。,medium,research-outputs/active-coverage/basf/2026-09-06-rhine-low-water-reversal.md
84,basf,NO_CHANGE,2026-09-07T12:20:15+00:00,BASF-T2与BASF-T3状态及置信度不变；万华WH-T1/2/3 read-across亦不变。,BASF与万华模型均不修改；无新增公司级hardcode。,无估值变化；spot annualized EBITDA不替代公司预测或SOTP。,medium,research-outputs/active-coverage/basf/2026-09-07-ms-spot-tracker-q3-bridge.md
85,basf,NO_CHANGE,2026-09-07T13:24:57+00:00,BASF-T3继续获得方向支持但维持open/high；BASF-T2 open/low不变。任务要求的曲线持续性已满足，BASF公司级净成本/传导变化未满足。,不修改models/basf-model-v0.4-citi-eu-policy-2026-09-03.xlsx；不把ICE gross曲线写入Chemicals、Materials EBITDA或FCF。,无变化；没有新增BASF实现成本、分部利润、现金流、WACC或SOTP输入。,high,research-outputs/active-coverage/basf/2026-09-07-ttf-five-day-persistence.md
86,wanhua,NO_CHANGE,2026-09-08T00:21:32+00:00,WH-T2新增低置信度支持：国贸期货路线模型显示乙烷制PE成本下降、油制和乙烯制成本上升；但复产单元、万华原料配比、负荷、订单、厂库和实现价均未取得，status/confidence仍为open/medium。WH-T1/WH-T3无直接变化。,不修改models/wanhua-simple-model-final.xlsx；Q3 PE销量、ASP、成本和石化利润继续blank gate，不把历史铭牌、机械产量上限或行业路线成本写入公司预测。,无变化。,medium,research-outputs/active-coverage/wanhua/2026-09-07-pe-restart-validation.md
87,wanhua,NO_CHANGE,2026-09-08T12:17:36+00:00,"WH-T1新增低置信度方向性支持：科思创限量供应说明有效供给偏紧；反方是17,200元/吨仍低于8月24日和8月17日报价、当日基准未上涨、成本信号更强且万华自身可售量受限。WH-T1维持open/medium；WH-T2/WH-T3无直接变化。",不修改models/wanhua-simple-model-final.xlsx；不以科思创指导价或公开基准替代万华TDI实现价，不上修Q3销量、ASP或聚氨酯利润。,无变化。,medium,research-outputs/active-coverage/wanhua/2026-09-08-covestro-tdi-guidance-validation.md
88,wanhua,NO_CHANGE,2026-09-08T13:15:20+00:00,WH-T1不变；WH-T2/WH-T3不受影响。,不修改万华TDI销量、ASP、聚氨酯利润或集团预测。,无。,high,research-outputs/active-coverage/wanhua/2026-09-08-gansu-yinguang-tdi-post-start-check.md
89,wanhua,NO_CHANGE,2026-09-09T12:18:58+00:00,WH-T2维持open/medium；单日价差修复未形成持续趋势，且无公司量价成本传导。,不修改万华石化销量、ASP、成本、分部利润或集团盈利预测。,估值不变。,medium,research-outputs/active-coverage/industry/2026-09-08-nea-ethylene-naphtha-rebound.md
90,basf,NO_CHANGE,2026-09-09T12:18:58+00:00,BASF-T2维持open/low，BASF-T3维持open/high；湛江石脑油成本上升与乙烯相对修复方向相反，缺项目级传导。,不修改湛江或集团Chemicals/Materials量价成本和盈利预测。,估值不变。,medium,research-outputs/active-coverage/industry/2026-09-08-nea-ethylene-naphtha-rebound.md
91,linde,NO_CHANGE,2026-09-09T13:18:03+00:00,LIN-T3不变。拥挤度下降和估值压缩是反方证据；空头拥挤上升、同业相对跑输和EV/EBITDA溢价是支持证据，未触及ROC回升、EPS持续上修及相对收益修复的完整falsifier。,无；拥挤度、市场价格和相对估值不构成Linde量价、利润率、项目gas-on或盈利预测证据。,按9月8日收盘更新：估算NTM P/E约24.7x、NTM EV/EBITDA约16.7x、FCF yield约2.2%；估值较近两年压缩，但EV/EBITDA仍较APD和Air Liquide高约12%和22%。,medium,research-outputs/active-coverage/linde/2026-09-09-citi-crowding-valuation-review.md
92,basf,NO_CHANGE,2026-09-10T00:17:14+00:00,"BASF-T1/T2 confidence unchanged; project validates customer adoption but not group FCF, ROCE or Verbund/Zhanjiang earnings.","No change. No realized revenue, margin, capex, working-capital or cash-conversion inputs.",No change. Single project is not separable from Performance Chemicals and lacks contract economics.,high,research-outputs/active-coverage/basf/2026-09-09-durasorb-cheniere-commercialization.md
